scorer,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000,DLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
174,1215.683716,512.6721191,0.924134254,1133.270142,633.1596069,0.745631278,1220.946289,517.057373,0.004502863
175,1220.841675,513.5922241,0.872086823,1137.676636,629.9509888,0.726282179,1222.669556,517.1732178,0.00492844
176,1219.939575,515.0987549,0.828411639,1139.098999,631.5415649,0.745692492,1223.259766,518.7000122,0.003023624
177,1221.017334,510.6010437,0.897387087,1140.213623,630.8001099,0.72041899,1223.118164,517.5296631,0.004564792
178,1221.076782,510.0742188,0.885780811,1140.385132,631.8911743,0.757381201,1272.541382,74.97592926,0.006214917
179,1220.589111,509.0033264,0.886129141,1140.640015,631.4488525,0.751881838,1137.415161,623.3085327,0.00501582
180,1219.594238,513.1871338,0.874706924,1141.77832,631.0374756,0.72112751,1137.378906,623.1004028,0.005231798
181,1218.06543,507.0288696,0.906260967,1142.78772,631.7901611,0.778554916,1197.362061,687.432312,0.014267087
182,1220.213623,507.2512207,0.848292232,1143.357544,631.553833,0.804251254,1195.772461,705.5402832,0.017531186
183,1222.672607,508.2554626,0.81099987,1143.666016,632.114563,0.80223918,1196.989502,686.331665,0.013433576
184,1227.164673,506.3300476,0.902854979,1144.589722,631.4985962,0.804543972,1196.846558,687.7831421,0.018290848
185,1226.775879,500.6792297,0.929982245,1144.384521,631.1369629,0.798704028,1198.684082,690.0802002,0.008440495
186,1225.914917,497.3892212,0.943692565,1146.562866,628.7892456,0.675931334,1215.618774,494.5521545,0.00356406
187,1226.834595,495.7037354,0.944089174,1147.602051,632.1115112,0.717142344,1227.871094,503.5324402,0.00539124
188,1229.528442,491.4914551,0.945765018,1154.245483,626.6535645,0.788447738,1228.148926,483.0435486,0.005323559
189,1232.593262,486.7370605,0.89546752,1157.778687,626.6540527,0.802616119,1238.766968,489.9440308,0.00590241
190,1235.668091,485.160553,0.933834791,1160.656128,626.8959351,0.866460741,1240.234253,488.3516235,0.008235395
191,1240.846069,479.3132935,0.868724465,1163.330811,621.2644043,0.82348001,1232.729492,477.3535156,0.008211046
192,1244.145508,477.1662292,0.919983387,1170.630371,613.8717041,0.797157526,1243.453491,476.6089478,0.009309709
